,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
CYP1A2,0,1,0,2,1,0,0,0,1,0,0,0
CYP21A2,0,2,0,0,8,3,1,0,6,0,0,0
CYP26C1,0,0,2,0,0,1,1,0,8,0,0,0
CYP27B1,0,1,0,0,0,1,0,0,0,0,0,0
CYP2C18,1,0,3,1,0,6,0,1,1,0,0,2
CYP2C8,0,1,0,1,2,0,0,3,0,0,0,2
CYP2R1,0,3,0,0,0,1,1,0,10,0,0,0
CYP3A5,0,6,0,3,0,8,0,1,1,0,0,0
CYP4A11,0,0,1,0,1,14,0,2,1,0,0,1
CYP4A22,1,0,0,0,5,8,1,1,1,0,0,0
CYP4B1,0,0,0,2,0,1,0,0,9,0,0,1
CYP4F3,1,0,0,3,7,32,1,0,9,0,0,0
CYP4V2,0,0,1,0,0,5,0,0,1,0,0,0
CYP7A1,0,1,0,0,8,3,1,0,2,0,0,0
CYS1,2,0,0,0,0,0,0,0,0,0,0,0
DAOA,0,1,0,0,1,1,0,0,0,0,0,0
DARS2,0,0,2,1,1,0,4,6,4,1,0,6
DCBLD1,0,3,0,0,2,10,1,2,0,0,0,0
DCLRE1A,0,1,2,0,1,18,0,4,1,0,0,0
DCLRE1C,0,0,1,1,1,1,1,0,8,0,0,0
DGAT2L6,0,2,0,0,0,1,0,0,0,0,0,0
DGUOK,0,2,0,0,0,6,0,0,1,0,0,0
DHCR7,0,0,3,0,3,3,3,0,13,0,0,0
DHTKD1,0,1,0,4,0,5,1,0,7,1,0,0
DHX38,1,0,0,0,3,18,1,1,7,0,0,0
DIABLO,0,1,0,0,0,4,1,1,1,2,3,6
DIAPH1,0,0,1,3,2,19,0,1,0,2,3,2
DIRC2,0,0,1,1,0,1,0,2,6,0,0,0
DKK3,5,0,0,0,0,0,0,0,2,0,0,0
DLD,1,0,0,0,0,1,1,0,2,0,0,1
DLEC1,0,2,0,1,8,13,0,3,2,0,0,10
DLX6,0,2,0,0,2,4,0,0,9,0,0,0
DMBT1,0,1,3,0,3,46,1,4,13,0,2,1
DMGDH,1,0,0,0,1,1,0,1,5,0,0,0
DMXL1,0,2,0,11,6,3,3,4,16,1,0,2
DNA2,1,0,0,0,0,3,3,0,0,0,2,0
DNAAF1,0,0,1,1,2,12,1,5,4,0,0,0
DNAH1,1,0,0,7,3,49,8,10,39,0,1,0
DNAH11,1,0,0,10,26,23,11,8,43,6,1,21
DNAH3,2,0,0,11,2,20,3,5,24,0,0,0
DNAH7,1,0,3,6,3,30,1,6,18,0,0,0
DNAH9,0,2,1,12,9,28,4,4,64,0,1,2
DNAI1,0,1,0,0,0,1,1,0,0,1,0,0
DNAJB2,0,4,0,1,0,0,0,0,12,0,0,0
DNAJC19,0,1,0,0,0,0,0,0,2,0,1,0
DNASE1,0,2,0,0,4,7,0,0,1,1,0,0
DNASE1L3,0,2,0,0,1,0,0,1,2,0,0,1
DNMT3L,1,0,0,0,3,8,0,0,3,0,0,0
DOCK6,0,1,0,5,3,15,1,3,18,0,1,1
DOCK7,1,0,0,1,3,0,0,5,12,0,0,0
DOK7,0,0,8,4,2,3,1,0,11,0,1,0
DRD5,0,0,1,0,0,1,0,0,4,0,0,0
DSCR8,0,0,1,0,0,0,0,0,0,0,0,0
DUOX1,1,0,0,4,3,20,3,2,13,1,0,0
DUOX2,0,0,1,2,4,25,0,2,7,0,0,0
DYSF,1,0,0,8,7,28,3,2,6,0,0,5
DYX1C1,0,1,0,1,0,0,1,1,0,0,0,3
ECHS1,0,1,0,0,1,1,1,0,0,0,0,0
ECM1,0,1,0,0,4,1,0,3,0,0,0,0
ECM2,0,1,0,0,7,2,0,0,1,0,0,0
EDN3,0,0,10,1,0,1,0,0,0,0,0,0
EEF2K,0,0,1,6,2,9,0,0,0,0,1,0
EFCAB5,1,0,1,0,1,22,0,0,2,0,0,0
EFHC1,0,1,0,2,0,5,1,3,4,4,7,44
EHHADH,1,0,0,2,3,6,1,5,1,0,0,0
EIF2AK4,1,0,0,1,3,2,1,0,0,0,0,0
ELOA2,0,0,2,0,10,29,1,0,2,0,0,0
ELOVL5,0,0,1,0,0,2,0,0,10,0,0,5
EME1,0,0,3,0,0,1,1,0,2,0,0,0
EME2,0,1,0,1,0,8,0,1,0,0,0,0
EMG1,1,0,0,0,1,3,0,0,0,0,0,1
ENAM,0,1,0,3,1,11,0,0,1,0,0,0
ENPP1,0,0,1,1,4,2,0,2,0,0,0,1
EPHX2,0,0,1,0,0,7,0,1,15,0,0,0
EPX,0,0,2,6,3,6,1,2,1,0,0,0
ERAP1,1,0,3,9,1,7,7,3,16,0,1,0
ERC1,0,1,0,0,1,0,3,1,0,0,0,0
ERCC6,0,1,0,2,3,15,1,2,1,0,0,2
ERCC6L2,0,1,0,0,1,3,1,0,0,0,1,0
ERRFI1,1,0,0,1,1,0,0,0,0,0,0,0
ESCO2,0,1,0,0,0,4,0,2,1,0,0,1
EVC,0,1,0,2,3,8,0,2,1,0,0,1
EXO1,0,0,9,2,2,8,1,2,1,0,0,0
EXOC4,1,0,0,5,3,2,0,14,10,0,1,0
EXOSC8,1,0,0,0,0,12,0,0,3,0,0,0
EXPH5,1,0,0,0,8,22,1,5,3,0,0,0
EXTL1,0,0,1,3,0,8,0,0,1,0,0,3
EYS,0,0,10,5,5,8,2,5,29,1,0,4
F12,0,0,2,1,2,5,0,0,3,0,0,1
F2RL1,0,0,0,1,0,1,0,0,14,0,0,0
F7,0,1,0,1,1,4,1,1,8,0,0,0
FAM111A,0,1,17,1,2,1,0,1,6,0,0,0
FAM111B,1,0,0,2,1,0,0,0,0,0,1,0
FAM120B,0,1,0,2,1,7,2,2,1,0,0,0
FAM161A,0,3,0,1,4,9,0,0,0,0,1,4
FAM189B,0,0,1,0,1,11,0,1,2,0,0,0
FAM71A,0,0,4,0,0,5,0,0,3,0,0,0
FAM81B,1,0,1,0,2,2,1,0,0,0,0,0
FAM83H,0,0,3,2,7,11,4,1,14,0,0,0
FAM8A1,1,0,0,2,8,67,3,0,6,0,1,0
FAN1,0,1,0,1,0,15,1,1,7,0,0,0
FANCA,1,0,0,1,2,19,1,5,8,2,0,2
FANCD2,153,0,10,2,6,5,169,1,15,0,0,18
FANCE,0,1,0,0,1,0,0,0,1,0,0,0
FANCG,1,0,0,2,2,1,0,1,0,0,0,0
FANCL,0,0,6,0,0,8,0,0,0,0,0,1
FANCM,1,1,2,2,7,18,1,1,3,0,0,0
FASTKD2,0,2,0,0,1,9,1,2,6,0,0,0
FBLIM1,0,0,1,0,1,0,0,1,0,0,0,0
FBN3,1,2,0,12,20,47,6,6,61,0,1,9
FCGR2A,0,0,3,1,3,8,0,0,11,0,0,0
FCN1,0,5,0,1,0,2,0,0,5,0,0,0
FCN3,0,0,1,0,0,12,0,0,5,0,0,0
FCRL3,0,0,2,2,2,3,4,0,3,0,0,0
FCRL6,0,0,5,0,1,1,0,7,0,2,1,0
FFAR4,1,0,0,1,0,0,0,0,11,0,0,1
FIG4,0,1,0,0,0,0,1,1,6,0,0,2
FKBP14,0,0,1,0,0,3,0,0,5,0,0,0
FLG,0,1,1,6,12,44,2,10,35,0,0,0
FLVCR1,0,1,0,0,0,1,0,0,0,0,0,0
FMO4,0,1,0,0,2,4,1,0,0,0,0,0
FPGS,1,0,0,2,0,3,1,0,3,0,0,0
FPGT-TNNI3K,3,0,0,0,1,16,1,4,1,0,0,0
FREM3,0,1,0,2,7,30,0,5,19,0,0,5
FRK,0,1,0,1,2,2,0,1,0,0,0,0
