,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
CNTLN,0,1,19,4,7,4,84,6,1,0,0,0
CNTN4,0,1,0,2,2,7,1,4,1,0,0,3
COG5,1,0,0,0,1,6,2,1,13,0,0,0
COG7,0,1,0,1,0,1,2,1,34,0,0,0
COG8,1,0,0,0,0,2,0,0,5,0,0,0
COL18A1,2,2,0,4,9,38,6,3,113,2,0,1
COL4A2,0,1,0,0,3,9,3,5,17,0,1,1
COL4A3,0,2,0,1,2,5,1,3,7,0,0,0
COL6A5,1,0,2,5,15,14,4,6,15,0,8,15
COL6A6,0,8,0,2,5,3,1,5,8,0,0,0
COQ8A,0,3,0,4,2,9,1,7,6,0,0,1
CORIN,0,2,0,2,0,5,0,2,4,2,0,0
CP,2,0,0,2,3,1,1,1,2,0,1,0
CPA1,0,0,2,0,0,14,0,2,3,0,0,0
CPA4,0,1,5,0,0,4,0,1,15,1,0,0
CPB2,0,1,0,0,0,3,0,0,1,0,0,0
CPZ,0,1,1,4,4,29,2,9,4,9,1,1
CR2,1,1,1,0,2,11,1,0,6,0,0,0
CREB3L3,0,0,2,1,2,2,0,0,4,0,0,0
CRELD1,0,1,0,1,0,1,0,2,6,0,0,4
CROCC,1,0,0,2,5,47,0,7,29,0,1,0
CRYBA1,1,0,0,0,1,3,0,5,0,0,0,0
CRYBA4,0,2,7,0,2,0,0,1,1,2,0,0
CRYBB1,1,0,0,1,2,0,0,0,1,1,0,1
CSF3R,0,1,0,3,2,11,0,3,6,0,0,0
CSNK2A3,0,1,0,0,0,4,0,0,1,0,0,0
CTC1,0,0,2,6,0,4,1,4,18,0,0,0
CTSZ,0,2,0,1,0,4,1,0,0,0,0,0
CTTNBP2,1,0,0,5,3,8,2,1,6,0,1,0
CUEDC1,2,0,0,2,1,0,2,0,0,0,0,0
CUX2,0,0,1,4,2,3,0,5,41,0,2,0
CXCL8,0,0,11,0,1,0,0,0,1,0,0,0
CXCR1,0,0,2,0,0,2,1,3,0,0,0,0
