,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
AP4B1,0,24,0,9,68,88,4,2,33,0,0,0
AP4M1,0,1,0,6,10,12,43,1,2,3,4,5
AP4S1,6,1,0,7,0,4,0,0,22,0,1,21
APAF1,0,5,0,30,31,172,22,65,6,6,0,58
APBB2,3,0,0,1,33,89,5,55,28,0,0,0
APC,0,2,0,109,75,138,19,69,287,1,5,1
APEX1,0,1,0,6,17,9,0,4,195,0,0,140
APH1B,0,4,0,7,0,8,0,2,6,0,0,6
APITD1-CORT,0,2,0,0,10,0,1,0,0,0,0,22
APLF,2,4,2,7,0,76,2,7,9,5,0,0
APOA2,2,0,0,1,4,2,0,2,2,0,1,0
APOA4,0,54,0,11,9,211,7,40,1,2,1,0
APOA5,0,1,0,7,0,98,0,5,1,0,0,1
APOB,7,0,0,122,239,1040,64,68,241,0,0,13
APOBEC1,2,0,87,1,2,23,0,2,0,0,0,0
APOBEC3G,0,0,0,12,5,0,3,22,0,0,4,2
APOBEC3H,0,0,24,1,2,2,10,58,0,0,0,0
APOC1,0,2,0,0,0,1,3,0,30,3,0,0
APOC3,0,0,38,2,0,0,0,0,2,0,0,0
APOH,2,0,1,3,3,1,8,2,54,0,1,16
APOL2,0,1,0,15,14,36,4,4,0,0,0,0
APOL6,4,0,0,6,30,12,0,16,58,0,0,0
APOLD1,0,0,1,0,0,2,0,0,0,0,0,0
APRT,11,2,0,12,1,5,3,3,19,0,0,0
APTX,0,3,0,16,0,21,0,2,36,24,57,22
AQP3,6,0,0,5,0,1,0,0,12,2,0,1
AQP5,1,0,103,5,9,34,50,3,2,0,1,0
AQP7,0,1,36,3,12,296,10,3,31,0,35,19
ARHGAP11A-SCG5,1,0,0,0,3,1,1,2,2,0,0,0
ARHGAP18,2,0,0,5,6,9,2,9,4,0,0,0
ARHGAP24,1,0,0,18,28,27,5,0,53,3,0,0
ARHGAP45,0,0,15,49,54,116,11,48,33,8,2,2
ARHGAP9,4,0,0,28,33,144,16,10,2,4,3,15
ARHGDIA,8,0,1,6,19,30,7,12,18,6,1,3
ARHGEF10,0,6,2,61,45,100,19,38,105,0,7,45
ARHGEF4,1,0,0,17,11,27,11,28,214,0,16,78
ARID1B,3,5,0,56,79,132,17,43,276,1,1,6
ARID4A,2,0,78,32,4,40,3,0,33,0,1,0
ARL11,0,3,0,6,31,61,4,0,11,0,0,0
ARL13B,2,0,0,1,5,178,2,3,176,16,40,236
ARL2BP,0,1,0,4,0,0,3,1,0,0,0,0
ARL6IP6,1,0,0,15,2,1,6,0,0,0,0,1
ARMC6,0,2,0,0,0,0,0,0,0,1,0,0
ARSA,0,0,3,8,81,5,1,9,99,1,1,8
ARSB,5,0,0,74,4,50,2,0,52,0,0,0
ARSD,11,0,0,0,63,0,52,19,2,86,170,75
ARSF,0,13,0,13,10,71,6,9,121,0,6,4
ARSI,0,1,0,20,29,17,7,8,214,0,0,0
ART4,1,0,0,1,5,67,7,2,3,1,2,0
ARV1,0,0,0,0,4,62,0,0,0,0,0,1
ARVCF,0,1,10,38,57,315,41,51,28,6,11,4
AS3MT,0,3,0,9,6,27,1,6,2,1,2,7
ASB10,0,12,5,18,118,127,51,19,11,0,29,15
ASB4,0,1,0,0,0,0,2,0,0,0,0,0
ASCC1,1,0,0,4,2,27,2,2,24,33,19,24
ASCC3,2,0,0,32,5,13,38,11,54,2,1,14
ASIC3,1,12,5,19,26,40,11,25,8,0,1,0
ASL,1,0,0,18,21,14,1,10,32,2,3,155
ASMT,0,0,79,1,6,56,0,1,1,0,0,0
ASMTL,4,9,0,9,34,70,3,18,35,0,0,13
